director,d_score
Mennan Yapo,13.2610858070258
Mic Rodgers,5.61906770723476
Micha?l R. Roskam,13.5692330151418
Michael Almereyda,1.48772267693789
Michael Apted,48.8085843186737
Michael Bay,369.780139776887
Michael Brandt,5.15384918446143
Michael Caton-Jones,16.7070765252151
Michael Corrente,0.790181396329888
Michael Cuesta,5.54010105351944
Michael Davis,20.6716925815402
Michael Dougherty,3.83278364910085
Michael Dowse,4.74962571901347
Michael Haneke,12.4813100641306
Michael J. Bassett,6.17971957097129
Michael Lembeck,13.1533761782159
Michael Mann,65.8055196665021
Michael Mayer,1.31828193832599
Michael McCullers,6.702912567702
Michael Moore,13.1627850507715
Michael Patrick Jann,2.72173592069184
Michael Patrick King,17.7774118063676
Michael Polish,3.30561330561331
Michael Radford,5.22642793571017
Michael Rymer,4.91689833394579
Michael Sucsy,17.890147068474
Michael Tiddes,7.96980891381189
Michael Winterbottom,4.44440895106399
Michel Gondry,76.2767408561606
Michel Hazanavicius,26.5271649200221
Miguel Sapochnik,18.7653890824623
Mikael H?fstr?m,49.5955544338432
Mikael Salomon,5.81209357949025
Mike Bigelow,7.7551867219917
Mike Binder,7.64462593581488
Mike Cahill,12.0256480970767
Mike Clattenburg,1.18663041739965
Mike Flanagan,14.1504770510538
Mike Johnson,67.6182572614108
Mike Judge,39.5478929067201
Mike Leigh,3.88784650535766
Mike Mills,9.76267905536198
Mike Mitchell,44.6767923173083
Mike Newell,179.958987023426
Mike Nichols,23.8291792427932
Mike Thurmeier,47.8857722006314
Mike Tollin,3.76951413705738
Milo? Forman,18.392363265409
Mimi Leder,37.9710812236266
Mira Nair,3.03656295096249
Morgan Spurlock,11.9994120315652
Morten Tyldum,73.6539038612825
Motonori Sakakibara,14.4433767455174
Nacho Vigalondo,7.25459400031412
Nancy Meyers,54.7070434398038
Nanette Burstein,7.71660859465737
Nat Faxon,10.7619528530045
Neil Abramson,0.322894087749458
Neil Burger,129.691538345112
Neil Jordan,7.7448350447631
Neil LaBute,10.1747101376746
Neil Marshall,12.3388959375811
Neill Blomkamp,103.557847600852
Nicholas Hytner,3.41273219828644
Nicholas Jarecki,4.3173383304046
Nicholas Stoller,49.1018662280376
Nick Cassavetes,80.271179073775
Nick Gomez,1.39474000962927
Nick Hamm,3.22246696035242
Nick Hurran,7.36224456607378
Nick Murphy ,8.74133244031203
